pl_name,pl_altname,hd_name,hip_name,tic_id,gaia_id,image,caption,sy_constellation,sy_planet_count,sy_snum,sy_mnum,cb_flag,st_name,st_epoch,st_right_ascension,st_declination,st_distance,st_spectral_type,st_apparent_magnitude,st_luminosity,st_mass,st_radius,st_variability,st_metallicity,st_age,pl_semi_major_axis,pl_periastron,pl_apoastron,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_epoch,pl_projobliq,pl_trueobliq,pl_imppar,pl_ratdor,pl_ratror,pl_mass,pl_mass_earth,pl_minimum_mass,pl_radius,pl_radius_earth,pl_density,pl_gravity,pl_rotation_period,pl_temperature,pl_insolation_flux,pl_transit_depth,pl_occultation_depth,pl_albedo_bond,pl_pressure,pl_composition,pl_wind_speed,pl_ntranspec,pl_nespec,pl_ndispec,disc_by,disc_program,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,disc_pubdate,pl_controv_flag,tran_flag,rv_flag,ttv_flag,ast_flag,micro_flag,pul_flag,pre_discovery,detection_type,status
Kepler-1604 b,,,,,,,,Lyre,1,1,,0,Kepler-1604,,19/01/38.56,+44/24/44.03,"ValueWithUncertainty(value=541.189, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=15.224, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.81, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.02, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01406, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.683684256, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.026, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=40.98, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00809, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.12579177, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.41, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.04, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=2023.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1391.4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02856, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
Kepler-1424 b,,,,,,,,Lyre,1,1,,0,Kepler-1424,,19/23/58.00,+40/13/45.60,"ValueWithUncertainty(value=661.421, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13.756, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.02, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.01, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.25, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.19068, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=29.6091744, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.288, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=82.54, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00521, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.10348827, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.81, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=629.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=58.6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01259, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
Kepler-342 e,,,,,,,,Cygne,4,1,,0,Kepler-342,,19/30/42.73,+46/43/36.05,"ValueWithUncertainty(value=781.611, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13.2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.26, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.04, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02909, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.644224613, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0372, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=58.94, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00193, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.07850834, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.96, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1897.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3111.322, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.00478, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
HD 104985 b,,,,,,,,Girafe,1,1,,0,HD 104985,,12/05/15.79,+76/54/19.21,"ValueWithUncertainty(value=100.576, error_positive=None, error_negative=None, sign=None)",G9 III,"ValueWithUncertainty(value=5.79389, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.22, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.32, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.715, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.047, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=199.68, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7.11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455083.5, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=133.8, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=5.559, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5.559, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.63, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Radial Velocity,2003,Okayama Astrophysical Observatory,,,,,,,,,,,,,
Kepler-1952 b,,,,,,,,Lyre,1,1,,0,Kepler-1952,,19/12/18.34,+43/57/30.54,"ValueWithUncertainty(value=852.062, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13.828, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.922, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.34, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.1724, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=27.21080017, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.202, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=80.02, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.0065, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.11055719, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.23923346, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.98, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=725.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=65.27, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.00979, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2021,Kepler,,,,,,,,,,,,,
Kepler-128 c,,,,,,,,Lyre,2,1,,0,Kepler-128,,18/49/58.14,+43/58/48.88,"ValueWithUncertainty(value=396.379, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=11.693, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.184, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.03, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.07, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.16517, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.037, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=22.8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.417, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.53, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.01063467, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.38, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.13569476, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.521, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.237935, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=843.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=130.979, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.00664, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2013,Kepler,,,,,,,,,,,,,
TrES-2 b,,,,,,,,Dragon,1,2,,0,TrES-2,,19/07/14.05,+49/18/59.12,"ValueWithUncertainty(value=215.32, error_positive=None, error_negative=None, sign=None)",G0 V,"ValueWithUncertainty(value=11.254, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.36, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3.55, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03568, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.47063, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.166, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=83.57, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=24.0, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=1.49, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=473.5667, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.36, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15.24424, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.884, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1466.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=903.864, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.00065, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,Transit,2006,TrES,,,,,,,,,,,,,
BD+15 2940 b,,,,,,,,Serpent,1,1,,0,BD+15 2940,,16/00/22.95,+15/32/48.30,"ValueWithUncertainty(value=426.42, error_positive=None, error_negative=None, sign=None)",K0,"ValueWithUncertainty(value=9.01, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.1, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.28, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7.1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.539, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=137.48, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2453464.0, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=302.0, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=1.11, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.23, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13.7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.754, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Radial Velocity,2013,McDonald Observatory,,,,,,,,,,,,,
TOI-2338 b,,,,,,,,Colombe,1,1,,0,TOI-2338,,05/25/22.70,-34/40/05.70,"ValueWithUncertainty(value=313.996, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=12.483, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.99, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.22, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.158, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.676, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=22.65398, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.503, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.52, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.6, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=5.98, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1900.61387386, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11.2089807, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7.42, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=799.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13.8485, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.153, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,,,,,
Kepler-389 c,,,,,,,,Cygne,2,1,,0,Kepler-389,,19/27/50.40,+44/54/00.21,"ValueWithUncertainty(value=816.559, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=15.769, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.765, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.86, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.11, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14.51143, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.135, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85.38, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00859, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.46, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.82, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=636.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=22.735, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03558, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2014,Kepler,,,,,,,,,,,,,
Kepler-509 b,,,,,,,,Cygne,1,1,,0,Kepler-509,,19/18/39.45,+48/42/22.19,"ValueWithUncertainty(value=332.443, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=11.848, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.1, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.01, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.27, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.23702, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=41.74600392, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.713, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.96, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.0213, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.22214292, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.49, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.41, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=584.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=28.481, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.04218, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
HD 94834 b,,,,,,,,Lion,1,1,,0,HD 94834,,10/57/15.03,+24/08/34.57,"ValueWithUncertainty(value=98.1609, error_positive=None, error_negative=None, sign=None)",K0,"ValueWithUncertainty(value=7.6, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.11, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.12, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2.74, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1576.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=27.9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2456100.0, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=38.0, error_positive=None, error_negative=None, sign=None)",,,,,,,"ValueWithUncertainty(value=1.26, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.22, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13.7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.856, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,,,,Radial Velocity,2018,W. M. Keck Observatory,,,,,,,,,,,,,
CoRoT-25 b,,,,,,,,Ophiucus,1,1,,0,CoRoT-25,,18/42/31.12,+06/30/49.76,"ValueWithUncertainty(value=1103.48, error_positive=None, error_negative=None, sign=None)",F9,"ValueWithUncertainty(value=14.79, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.09, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.01, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0578, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.86069, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0524, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=84.5, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.27, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=85.81, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.08, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12.11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.15, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1330.0, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,,,Transit,2013,CoRoT,,,,,,,,,,,,,
TOI-6324 b,,,,,,,,Céphée,1,1,,0,TOI-6324,,22/03/22.69,+67/29/55.24,"ValueWithUncertainty(value=20.5488, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13.386, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.269, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=-0.32, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.279221, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=74.6, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.00368123, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.17, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.09447781, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.059, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5.41, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1216.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=284.211, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0779, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,,,,,
Qatar-7 b,,,,,,,,Andromède,1,1,,0,Qatar-7,,23/54/03.63,+37/01/18.57,"ValueWithUncertainty(value=705.981, error_positive=None, error_negative=None, sign=None)",F4 V,"ValueWithUncertainty(value=13.134, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.409, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.276, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.69, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0352, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.032046, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0499, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.0, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=1.88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=597.5204, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=19.0553, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.502, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=2053.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2886.2922, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.22730057, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2019,Qatar,,,,,,,,,,,,,
Kepler-942 b,,,,,,,,Cygne,1,1,,0,Kepler-942,,19/39/49.22,+44/08/59.83,"ValueWithUncertainty(value=216.354, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13.25, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.81, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.09, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.22737, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=44.96417488, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.05, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.91, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.0163, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.19002587, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.95, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=379.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4.957, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.08116, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
Kepler-1487 b,,,,,,,,Cygne,2,1,,0,Kepler-1487,,19/41/59.54,+38/38/40.02,"ValueWithUncertainty(value=1014.62, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13.6, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1.38, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.04, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1.95, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0898, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7.31946363, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0885, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89.44, error_positive=None, error_negative=None, sign=None)",,,,,,,,"ValueWithUncertainty(value=0.0163, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.19002587, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2.95, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1682.0, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=323.294, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01567, error_positive=None, error_negative=None, sign=None)",,,,,,,,,,,Transit,2016,Kepler,,,,,,,,,,,,,
